,Tn,Tx,FFmax,RR,lat,lon
66212001,284.6067123287668,294.08287671232875,7.119726027397256,761.6,42.76,2.98
66233001,285.0935616438358,294.0795890410958,8.755342465753431,963.4000000000001,42.536,2.761
69029001,282.72068493150687,292.2283561643835,6.761643835616439,807.7,45.73,4.94
69206001,280.803698630137,291.78205479452043,4.935890410958907,681.8,46.058,4.711
69258001,280.16232876712326,287.6078082191778,4.563561643835616,1027.2,46.217,4.628
69299001,282.63164383561656,291.5998630136985,7.137534246575332,742.7000000000002,45.73,5.08
73011004,281.6708219178084,292.2905479452053,3.8915068493150695,1238.8000000000002,45.66,6.37
73051001,276.873611111111,283.34583333333325,7.610277777777781,1298.3000000000002,45.66,5.82
73054001,278.75493150684923,290.8426027397261,4.214246575342463,1053.8000000000002,45.61,6.76
73191005,280.91657381615596,290.7093314763232,3.7359331476323088,1254.6,45.56,5.8
73329001,280.9675342465754,291.6661643835617,5.942191780821916,1071.8999999999999,45.64,5.88
74042003,279.3209589041097,290.6686301369862,4.681369863013701,1006.8,46.07,6.38
74056001,275.65767123287696,288.7710958904109,2.9005479452054796,1234.5,45.93,6.88
74056005,276.3730136986301,285.38095890410966,5.8284931506849285,1590.5,46.004,6.949
74135001,279.29821917808226,290.1697260273972,5.9838356164383555,1202.3,45.76,6.26
74136005,276.701506849315,284.7705479452056,4.380273972602739,1888.0,45.973,6.472
74182001,280.05575342465744,290.6267123287672,5.282739726027396,1128.7,45.93,6.09
74285002,281.42315068493167,290.48863013698644,5.573150684931505,955.6000000000001,46.01,5.84
81115002,281.4146723646726,290.92179487179476,7.305982905982897,1640.7,43.48,2.66
81182004,281.9924657534247,289.7897260273974,6.175342465753425,1179.3,43.73,2.36
81192005,279.43096590909096,286.39090909090913,8.476136363636359,1984.2,43.63,2.83
81284001,282.337397260274,292.9349315068493,5.6895890410958865,748.5,43.91,2.12
81292001,281.62589041095885,289.9716438356164,7.046575342465753,912.6,44.11,2.28
83002004,281.73136986301364,293.10260273972625,4.8402739726027395,1158.0,43.79,6.24
83019002,282.2431506849315,294.6823287671233,4.1424657534246565,1511.4,43.2,6.38
83031001,283.4793150684932,295.3472602739726,6.7336986301369866,1433.5,43.38,6.39
83035001,283.4938356164386,291.916575342466,7.296986301369861,915.2,43.251999999999995,5.785
83044003,279.80369863013703,289.80808219178084,5.942739726027399,1517.4999999999998,43.659,6.471
